OBJECTID,DATE_CAPTURED,SCIENTIFIC_NAME,CAPTURE_METHOD,TOTAL_LENGTH,HEAD_LENGTH,SEX,SNOUT_VENT_LENGTH,TAIL_COMPLETE,REGION,ZONE_CODE
4051,2021-08-05 0:00,C. porosus,Trap,201,28,F,93,Y,Darwin,1
3910,2021-07-30 0:00,C. porosus,Trap,250,35,M,118,Y,Darwin,3
4163,2021-07-29 0:00,C. porosus,Trap,198,28,M,96,Y,Nhulunbuy,9
3911,2021-07-28 0:00,C. porosus,Trap,160,23,M,76,Y,Darwin,4
3912,2021-07-28 0:00,C. porosus,Trap,190,27,F,90,Y,Darwin,4
3913,2021-07-28 0:00,C. porosus,Trap,178,25,F,82,Y,Darwin,4
3914,2021-07-28 0:00,C. porosus,Trap,240,36,M,112,Y,Darwin,6
3915,2021-07-28 0:00,C. porosus,Trap,172,25,M,80,Y,Darwin,6
3946,2021-07-27 0:00,C. porosus,Trap,120,18,M,52,Y,Darwin,1
4274,2021-07-26 0:00,C. porosus,Trap,285,38,M,140,Y,Borroloola,8
3975,2021-07-24 0:00,C. porosus,Trap,180,27,M,83,Y,Darwin,1
3951,2021-07-22 0:00,C. porosus,Trap,296,42,M,136,Y,Darwin,6
3949,2021-07-21 0:00,C. porosus,Trap,183,27,M,87,Y,Darwin,3
3950,2021-07-21 0:00,C. porosus,Trap,219,32,M,106,Y,Darwin,3
4094,2021-07-21 0:00,C. porosus,Trap,268,37,M,130,Y,Katherine,7
4107,2021-07-17 0:00,C. porosus,Trap,159,24,F,69,Y,Darwin,1
3889,2021-07-16 0:00,C. porosus,Trap,242,35,M,115,Y,Darwin,1
3890,2021-07-16 0:00,C. porosus,Trap,256,36,M,120,Y,Darwin,6
3891,2021-07-16 0:00,C. porosus,Trap,203,32,F,102,Y,Darwin,6
4106,2021-07-16 0:00,C. porosus,Destroyed,190,25,M,86,Y,Darwin,1
4050,2021-07-11 0:00,C. porosus,Trap,300,42,M,141,Y,Darwin,4
4172,2021-07-07 0:00,C. porosus,Trap,272,37,M,130,Y,Darwin,4
4173,2021-07-07 0:00,C. porosus,Trap,183,26,M,85,Y,Darwin,3
4174,2021-07-07 0:00,C. porosus,Trap,245,35,M,115,Y,Darwin,3
4175,2021-07-07 0:00,C. porosus,Trap,218,31,M,102,Y,Darwin,1
3854,2021-07-03 0:00,C. porosus,Trap,138,21,F,63,Y,Darwin,1
4105,2021-07-01 0:00,C. porosus,Trap,176,25,M,83,Y,Darwin,6
4064,2021-06-30 0:00,C. porosus,Trap,154,23,M,73,Y,Darwin,3
4065,2021-06-30 0:00,C. porosus,Trap,157,22,F,74,Y,Darwin,3
4103,2021-06-30 0:00,C. porosus,Trap,277,34,F,109,Y,Darwin,4
4104,2021-06-30 0:00,C. porosus,Trap,354,50,M,172,Y,Darwin,4
4162,2021-06-25 0:00,C. porosus,Trap,130,22,M,72,Y,Nhulunbuy,9
4273,2021-06-25 0:00,C. porosus,Trap,178,27,F,84,Y,Darwin,6
4161,2021-06-24 0:00,C. porosus,Trap,220,31,F,105,Y,Nhulunbuy,9
4009,2021-06-18 0:00,C. porosus,Trap,257,37,M,123,Y,Katherine,7
3880,2021-06-15 0:00,C. porosus,Trap,362,53,M,173,Y,Darwin,3
4269,2021-06-15 0:00,C. porosus,Trap,252,35,M,122,Y,Darwin,4
4265,2021-06-14 0:00,C. porosus,Trap,160,23,M,79,N,Darwin,1
4075,2021-06-13 0:00,C. porosus,Trap,175,24,M,81,Y,Darwin,1
